nmax : 
15
Wavelength (micrometers) : 
0.5
Re(nmat) : 
1.5
radius
0.25
Re (nincl) : Im (ninc)
1.8
0.1


SphericalTMatrix          
--------------------------
nmax    :    15
dimtn   :   510
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
  248   15   -8   -1.190251377e-15    3.168480287e-15
  249   15   -9   -1.190251377e-15    3.168480287e-15
  250   15  -10   -1.190251377e-15    3.168480287e-15
  251   15  -11   -1.190251377e-15    3.168480287e-15
  252   15  -12   -1.190251377e-15    3.168480287e-15
  253   15  -13   -1.190251377e-15    3.168480287e-15
  254   15  -14   -1.190251377e-15    3.168480287e-15
  255   15  -15   -1.190251377e-15    3.168480287e-15
  256    1    1   -6.108318154e-01    2.579421090e-01
  257    1    0   -6.108318154e-01    2.579421090e-01
  258    1   -1   -6.108318154e-01    2.579421090e-01
  259    2    2   -5.100303235e-01    2.611890118e-01
  260    2    1   -5.100303235e-01    2.611890118e-01
  261    2    0   -5.100303235e-01    2.611890118e-01
  262    2   -1   -5.100303235e-01    2.611890118e-01
  263    2   -2   -5.100303235e-01    2.611890118e-01
  264    3    3   -4.083774568e-01    3.022972079e-01
  265    3    2   -4.083774568e-01    3.022972079e-01
  266    3    1   -4.083774568e-01    3.022972079e-01
  267    3    0   -4.083774568e-01    3.022972079e-01
  268    3   -1   -4.083774568e-01    3.022972079e-01
  269    3   -2   -4.083774568e-01    3.022972079e-01
  270    3   -3   -4.083774568e-01    3.022972079e-01
  271    4    4   -2.336041832e-01    2.498663284e-01
  272    4    3   -2.336041832e-01    2.498663284e-01
  273    4    2   -2.336041832e-01    2.498663284e-01
  274    4    1   -2.336041832e-01    2.498663284e-01
  275    4    0   -2.336041832e-01    2.498663284e-01
  276    4   -1   -2.336041832e-01    2.498663284e-01
  277    4   -2   -2.336041832e-01    2.498663284e-01
  278    4   -3   -2.336041832e-01    2.498663284e-01
  279    4   -4   -2.336041832e-01    2.498663284e-01
  280    5    5   -5.242250557e-02    9.936415188e-02
  281    5    4   -5.242250557e-02    9.936415188e-02
  282    5    3   -5.242250557e-02    9.936415188e-02
  283    5    2   -5.242250557e-02    9.936415188e-02
  284    5    1   -5.242250557e-02    9.936415188e-02
  285    5    0   -5.242250557e-02    9.936415188e-02
  286    5   -1   -5.242250557e-02    9.936415188e-02
  287    5   -2   -5.242250557e-02    9.936415188e-02
  288    5   -3   -5.242250557e-02    9.936415188e-02
  289    5   -4   -5.242250557e-02    9.936415188e-02
  290    5   -5   -5.242250557e-02    9.936415188e-02
  291    6    6   -7.179491368e-03    1.929648556e-02
  292    6    5   -7.179491368e-03    1.929648556e-02
  293    6    4   -7.179491368e-03    1.929648556e-02
  294    6    3   -7.179491368e-03    1.929648556e-02
  295    6    2   -7.179491368e-03    1.929648556e-02
  296    6    1   -7.179491368e-03    1.929648556e-02
  297    6    0   -7.179491368e-03    1.929648556e-02
  298    6   -1   -7.179491368e-03    1.929648556e-02
  299    6   -2   -7.179491368e-03    1.929648556e-02
  300    6   -3   -7.179491368e-03    1.929648556e-02
  301    6   -4   -7.179491368e-03    1.929648556e-02
  302    6   -5   -7.179491368e-03    1.929648556e-02
  303    6   -6   -7.179491368e-03    1.929648556e-02
  304    7    7   -8.305431771e-04    2.522319220e-03
  305    7    6   -8.305431771e-04    2.522319220e-03
  306    7    5   -8.305431771e-04    2.522319220e-03
  307    7    4   -8.305431771e-04    2.522319220e-03
  308    7    3   -8.305431771e-04    2.522319220e-03
  309    7    2   -8.305431771e-04    2.522319220e-03
  310    7    1   -8.305431771e-04    2.522319220e-03
  311    7    0   -8.305431771e-04    2.522319220e-03
  312    7   -1   -8.305431771e-04    2.522319220e-03
  313    7   -2   -8.305431771e-04    2.522319220e-03
  314    7   -3   -8.305431771e-04    2.522319220e-03
