nmax : 
25
Wavelength (micrometers) : 
0.555
Re(nmat) : 
1.6
radius
0.632
Re (nincl) : Im (ninc)
2.75
1.72

SphericalTMatrix          
--------------------------
nmax    :    25
dimtn   :  1350
--------------------------
   i_    n    m        re(Tmatrix)        im(Tmatrix)
  361   19   19   -6.990526880e-07   -3.803483765e-07
  362   19   18   -6.990526880e-07   -3.803483765e-07
  363   19   17   -6.990526880e-07   -3.803483765e-07
  364   19   16   -6.990526880e-07   -3.803483765e-07
  365   19   15   -6.990526880e-07   -3.803483765e-07
  366   19   14   -6.990526880e-07   -3.803483765e-07
  367   19   13   -6.990526880e-07   -3.803483765e-07
  368   19   12   -6.990526880e-07   -3.803483765e-07
  369   19   11   -6.990526880e-07   -3.803483765e-07
  370   19   10   -6.990526880e-07   -3.803483765e-07
  371   19    9   -6.990526880e-07   -3.803483765e-07
  372   19    8   -6.990526880e-07   -3.803483765e-07
  373   19    7   -6.990526880e-07   -3.803483765e-07
  374   19    6   -6.990526880e-07   -3.803483765e-07
  375   19    5   -6.990526880e-07   -3.803483765e-07
  376   19    4   -6.990526880e-07   -3.803483765e-07
  377   19    3   -6.990526880e-07   -3.803483765e-07
  378   19    2   -6.990526880e-07   -3.803483765e-07
  379   19    1   -6.990526880e-07   -3.803483765e-07
  380   19    0   -6.990526880e-07   -3.803483765e-07
  381   19   -1   -6.990526880e-07   -3.803483765e-07
  382   19   -2   -6.990526880e-07   -3.803483765e-07
  383   19   -3   -6.990526880e-07   -3.803483765e-07
  384   19   -4   -6.990526880e-07   -3.803483765e-07
  385   19   -5   -6.990526880e-07   -3.803483765e-07
  386   19   -6   -6.990526880e-07   -3.803483765e-07
  387   19   -7   -6.990526880e-07   -3.803483765e-07
  388   19   -8   -6.990526880e-07   -3.803483765e-07
  389   19   -9   -6.990526880e-07   -3.803483765e-07
  390   19  -10   -6.990526880e-07   -3.803483765e-07
  391   19  -11   -6.990526880e-07   -3.803483765e-07
  392   19  -12   -6.990526880e-07   -3.803483765e-07
  393   19  -13   -6.990526880e-07   -3.803483765e-07
  394   19  -14   -6.990526880e-07   -3.803483765e-07
  395   19  -15   -6.990526880e-07   -3.803483765e-07
  396   19  -16   -6.990526880e-07   -3.803483765e-07
